info  2019-01-02T14:18:42.109 thread-0  chain_plugin.cpp:333          plugin_initialize    ] initializing chain plugin
info  2019-01-02T14:18:42.112 thread-0  block_log.cpp:134             open                 ] Log is nonempty
info  2019-01-02T14:18:42.112 thread-0  block_log.cpp:161             open                 ] Index is nonempty
info  2019-01-02T14:18:42.112 thread-0  http_plugin.cpp:422           plugin_initialize    ] configured http to listen on 0.0.0.0:8888
warn  2019-01-02T14:18:42.112 thread-0  history_plugin.cpp:321        plugin_initialize    ] --filter-on * enabled. This can fill shared_mem, causing nodeos to stop.
info  2019-01-02T14:18:42.112 thread-0  net_plugin.cpp:2898           plugin_initialize    ] Initialize net plugin
info  2019-01-02T14:18:42.112 thread-0  net_plugin.cpp:2924           plugin_initialize    ] host: 0.0.0.0 port: 9876 
info  2019-01-02T14:18:42.113 thread-0  net_plugin.cpp:2995           plugin_initialize    ] my node_id is 5e03d9f7c526a59043a3fbdf4247b3ae3af6a183c8cc74ecb099c0d28d5ecc99
info  2019-01-02T14:18:42.113 thread-0  http_plugin.cpp:377           operator()           ] configured http with Access-Control-Allow-Origin: *
info  2019-01-02T14:18:42.113 thread-0  main.cpp:107                  main                 ] nodeos version v1.5.1
info  2019-01-02T14:18:42.113 thread-0  main.cpp:108                  main                 ] eosio root is /Users/kein/Library/Application Support
info  2019-01-02T14:18:42.113 thread-0  main.cpp:109                  main                 ] nodeos using configuration file /Users/kein/blockchain/eos/eosio/config/config.ini
info  2019-01-02T14:18:42.113 thread-0  main.cpp:110                  main                 ] nodeos data directory is /Users/kein/blockchain/eos/eosio/data
info  2019-01-02T14:18:42.113 thread-0  chain_plugin.cpp:724          plugin_startup       ] starting chain in read/write mode
info  2019-01-02T14:18:42.113 thread-0  chain_plugin.cpp:728          plugin_startup       ] Blockchain started; head block is #1, genesis timestamp is 2019-01-01T16:20:00.000
info  2019-01-02T14:18:42.113 thread-0  producer_plugin.cpp:718       plugin_startup       ] producer plugin:  plugin_startup() begin
info  2019-01-02T14:18:42.113 thread-0  producer_plugin.cpp:740       plugin_startup       ] Launching block production for 1 producers at 2019-01-02T14:18:42.113.
warn  2019-01-02T14:18:42.206 thread-0  transaction_context.cp:108    deadline_timer       ] Using polled checktime; deadline timer too inaccurate: min:6us max:2564us mean:503us stddev:644us
info  2019-01-02T14:18:42.229 thread-0  producer_plugin.cpp:752       plugin_startup       ] producer plugin:  plugin_startup() end
info  2019-01-02T14:18:42.229 thread-0  http_plugin.cpp:486           plugin_startup       ] start listening for http requests
info  2019-01-02T14:18:42.229 thread-0  chain_api_plugin.cpp:77       plugin_startup       ] starting chain_api_plugin
info  2019-01-02T14:18:42.229 thread-0  http_plugin.cpp:554           add_handler          ] add api url: /v1/chain/abi_bin_to_json
